ga:year,ga:month,ga:region,ga:city,ga:users,ga:sessions
2016,01,(not set),(not set),31,31
2016,01,(not set),Guaynabo,1,1
2016,01,Anhui,Hefei,1,1
2016,01,Autonomous City of Buenos Aires,Buenos Aires,1,1
2016,01,Baden-Wurttemberg,Mannheim,1,1
2016,01,Bavaria,Grossostheim,1,1
2016,01,Beijing,Beijing,1,1
2016,01,California,Cupertino,1,1
2016,01,California,Los Angeles,1,1
2016,01,California,Palo Alto,1,1
2016,01,California,Sacramento,1,1
2016,01,California,San Jose,1,1
2016,01,Canary Islands,San Cristobal de La Laguna,1,1
2016,01,District of Columbia,Washington,1,1
2016,01,England,Hastings,1,1
2016,01,England,Leyland,1,1
2016,01,England,London,1,1
2016,01,Erzincan,Erzincan,1,1
2016,01,Florida,Orlando,1,1
2016,01,Florida,Sunrise,1,1
2016,01,Georgia,Atlanta,1,1
2016,01,Georgia,Redan,1,1
2016,01,Guangdong,Guangzhou,1,1
2016,01,Guerrero,Iguala,1,1
2016,01,Gyeonggi-do,Gwangmyeong-si,1,1
2016,01,Gyeonggi-do,Namyangju-si,1,1
2016,01,Hawaii,Honolulu,1,1
2016,01,Heilongjiang,Harbin,1,1
2016,01,Hubei,Yichang,1,1
2016,01,Ibaraki Prefecture,Kamisu,1,1
2016,01,Ile-de-France,Guyancourt,1,1
2016,01,Ile-de-France,Issy-les-Moulineaux,1,1
2016,01,Illinois,Aurora,1,1
2016,01,Illinois,Chicago,1,1
2016,01,Illinois,Rosiclare,1,1
2016,01,Incheon,Incheon,1,1
2016,01,Iwate Prefecture,Morioka,1,1
2016,01,Jiangxi,Ganzhou,1,1
2016,01,Jiangxi,Jiujiang,1,1
2016,01,Karnataka,Bengaluru,1,1
2016,01,Kemerovo Oblast,Kemerovo,1,1
2016,01,Kyivs'ka oblast,Bila Tserkva,1,1
2016,01,Lower Saxony,Springe,1,1
2016,01,Maharashtra,Mumbai,1,1
2016,01,Massachusetts,Boston,1,1
2016,01,Massachusetts,Cambridge,1,1
2016,01,Massachusetts,Framingham,1,1
2016,01,Michigan,Detroit,1,1
2016,01,Michigan,Lakeview,1,1
2016,01,Moscow,Moscow,1,1
2016,01,New Jersey,Rahway,1,1
2016,01,New South Wales,Sydney,2,2
2016,01,New York,New York,1,1
2016,01,North Carolina,Charlotte,1,1
2016,01,North Holland,Amsterdam,1,1
2016,01,Ohio,Painesville,1,1
2016,01,Ontario,Burlington,1,1
2016,01,Ontario,Ottawa,1,1
2016,01,Ontario,Toronto,2,2
2016,01,Oryol Oblast,Oryol,1,1
2016,01,Provence-Alpes-Cote d'Azur,Grasse,1,1
2016,01,Samara Oblast,Samara,1,2
2016,01,Scotland,Greenock,1,1
2016,01,Seoul,Seoul,1,1
2016,01,Shiga Prefecture,Otsu,1,1
2016,01,Special Capital Region of Jakarta,(not set),1,1
2016,01,State of Bahia,Salvador,1,1
2016,01,State of Rio de Janeiro,Rio de Janeiro,1,1
2016,01,State of Sao Paulo,Sao Paulo,2,2
2016,01,Styria,Judenburg,1,1
2016,01,Sverdlovsk Oblast,Pervouralsk,1,1
2016,01,Taipei City,(not set),1,1
2016,01,Tel Aviv District,Tel Aviv-Yafo,1,1
2016,01,Texas,Dallas,1,1
2016,01,Texas,Plano,1,1
2016,01,Tokyo,Setagaya,1,1
2016,01,Tokyo,Shinjuku,1,1
2016,01,Victoria,Melbourne,1,1
2016,01,Vila Real District,(not set),1,1
2016,01,Virginia,Arlington,2,2
2016,01,Virginia,Ashburn,1,1
2016,01,Washington,Bellevue,1,1
2016,01,Washington,Lakewood,1,1
2016,01,Wisconsin,(not set),1,1
2016,01,Yamanashi Prefecture,Fujiyoshida,1,1
2016,01,Zurich,Zurich,1,1
2016,01,(not set),(not set),15,15
2016,01,(not set),Hong Kong,1,1
2016,01,Ankara,Ankara,1,1
2016,01,Arizona,Florence,1,1
2016,01,Assam,Guwahati,1,1
2016,01,Auckland,Auckland,1,1
2016,01,Aveiro District,Aveiro,1,1
2016,01,Beijing,Beijing,2,2
2016,01,Cairo Governorate,Cairo,1,1
2016,01,California,Berkeley,1,2
2016,01,California,Mountain View,1,1
2016,01,California,Ross,1,1
2016,01,California,San Diego,1,1
2016,01,California,Sunnyvale,1,1
2016,01,Delhi,New Delhi,1,1
2016,01,England,Horsham,1,1
2016,01,England,London,3,3
2016,01,Florida,Doctor Phillips,1,1
2016,01,Florida,Orlando,1,1
2016,01,Georgia,Redan,1,1
2016,01,Henan,Xinxiang,1,1
2016,01,Hesse,Bad Homburg,1,1
2016,01,Illinois,Chicago,1,1
2016,01,Illinois,Rock Island,1,1
2016,01,Kanagawa Prefecture,Sagamihara,1,1
2016,01,Lower Normandy,Caen,1,1
2016,01,Lublin Voivodeship,Lublin,1,1
2016,01,Maharashtra,Nagpur,1,1
2016,01,Maharashtra,Pune,1,1
2016,01,Maryland,Greenbelt,1,1
2016,01,Masovian Voivodeship,Warsaw,1,1
2016,01,Minnesota,Saint Paul,1,1
2016,01,New Jersey,Princeton,1,1
2016,01,New South Wales,Central Coast,1,1
2016,01,New South Wales,Sydney,2,2
2016,01,New York,Albany,1,1
2016,01,New York,East Massapequa,1,1
2016,01,New York,New York,2,2
2016,01,North Holland,Hilversum,1,1
2016,01,Oklahoma,Oklahoma City,1,1
2016,01,Pichincha,Quito,1,2
2016,01,Prague,Prague,1,1
2016,01,Queensland,Brisbane,1,1
2016,01,Samara Oblast,Samara,1,2
2016,01,Sarawak,Kuching,1,1
2016,01,Scotland,Rosyth,1,1
2016,01,Selangor,Shah Alam,1,1
2016,01,South Australia,Adelaide,1,1
2016,01,Special Capital Region of Jakarta,(not set),1,1
2016,01,State of Goias,Goiania,2,2
2016,01,State of Mato Grosso do Sul,Campo Grande,1,1
2016,01,State of Rio de Janeiro,Rio de Janeiro,1,1
2016,01,Tamil Nadu,Chennai,1,1
2016,01,Tehran,Tehran,1,1
2016,01,Telangana,Hyderabad,1,1
2016,01,Texas,Austin,2,2
2016,01,Tokyo,Chofu,1,1
2016,01,Uppsala County,Uppsala,1,1
2016,01,Victoria,Melbourne,1,1
2016,01,Virginia,Franconia,1,1
2016,01,Virginia,Springfield,1,1
2016,01,West Kalimantan,Pontianak,1,1
2016,01,(not set),(not set),40,40
2016,01,(not set),Administrative unit Maribor,1,1
2016,01,(not set),Helsinki,1,1
2016,01,(not set),Luanda,1,1
2016,01,Alabama,Hoover,1,1
2016,01,Alberta,Calgary,1,1
2016,01,Antioquia,Medellin,1,1
2016,01,Arizona,Mesa,1,1
2016,01,Attica,Peristeri,1,1
2016,01,Baden-Wurttemberg,Stuttgart,1,1
2016,01,Bavaria,Munich,1,1
2016,01,Beijing,Beijing,1,1
2016,01,Bremen,Bremerhaven,1,1
2016,01,City of Zagreb,Zagreb,1,1
2016,01,Colorado,Denver,1,1
2016,01,Community of Madrid,Madrid,1,1
2016,01,Connecticut,Bridgeport,1,1
2016,01,Delhi,New Delhi,2,2
2016,01,District of Columbia,Washington,1,1
2016,01,Dubai,Dubai,1,1
2016,01,England,Aylesbury,1,1
2016,01,England,Salford,1,1
2016,01,England,Sheffield,1,1
2016,01,Federal Territory of Kuala Lumpur,Kuala Lumpur,2,2
2016,01,Florida,Sunrise,1,1
2016,01,Gauteng,Johannesburg,1,1
2016,01,Georgia,Norcross,1,1
2016,01,Guangdong,Zhanjiang,1,1
2016,01,Illinois,Chicago,1,1
2016,01,Illinois,Elmhurst,1,1
2016,01,Incheon,Incheon,1,1
2016,01,Indiana,Indianapolis,1,1
2016,01,Indiana,Jeffersonville,1,1
